#Glass materials Database#Name: Glass name
#LambdaMin, LambdaMax: wavelength range (um)
#K1,L1,K2,L2,K3,L3: Sellmeier1 coeficients.
#Name                       LambdaMin	LambdaMax		K1		L1		K2		L2	      K3               L3			
BAFN10                     0.334000	2.325000	1.604772890E+00	9.470216170E-03	1.237624680E-01	4.516397920E-02	1.072705200E+00	1.085394270E+02
BAFN11                     0.334000	2.325000	1.602552170E+00	9.388123470E-03	1.169188870E-01	4.404753440E-02	1.028611260E+00	1.045331330E+02
BAK1                       0.290000	2.500000	1.123656620E+00	6.447427520E-03	3.092768480E-01	2.222844020E-02	8.815119570E-01	1.072977510E+02
BAK2                       0.280000	2.500000	1.016621540E+00	5.923837630E-03	3.199030510E-01	2.038284150E-02	9.372329950E-01	1.131184170E+02
BAK4                       0.310000	2.500000	1.229655260E+00	7.235532300E-03	1.915129780E-01	2.777710170E-02	9.568897920E-01	1.096872610E+02
BAK5                       0.334000	2.325000	1.029751080E+00	5.847321120E-03	3.562586900E-01	2.047742000E-02	9.560571900E-01	1.152404740E+02
BAK50                      0.334000	2.325000	9.501050820E-01	5.203569780E-03	4.693790070E-01	1.878886440E-02	9.214159070E-01	9.840796690E+01
BALF4                      0.334000	2.325000	1.293759810E+00	7.802282510E-03	1.581385720E-01	3.213490480E-02	9.474427730E-01	1.091586570E+02
BALF5                      0.320000	2.325000	1.237510180E+00	8.081130000E-03	1.167575840E-01	3.498683720E-02	8.530862550E-01	1.103141850E+02
BALF50                     0.334000	2.325000	1.373800530E+00	8.719509070E-03	1.047411490E-01	3.971528270E-02	1.009092960E+00	1.144620810E+02
BALKN3                     0.310000	2.325000	1.116316800E+00	6.841098420E-03	1.572605910E-01	2.570487620E-02	9.140297100E-01	1.059191880E+02
BASF1                      0.334000	2.325000	1.400456400E+00	9.898996630E-03	1.768685900E-01	4.742953590E-02	9.246774410E-01	1.159464830E+02
BASF10                     0.334000	2.325000	1.475526330E+00	1.014932870E-02	1.771206460E-01	4.775783800E-02	9.425021770E-01	1.187263320E+02
BASF12                     0.334000	2.325000	1.547018900E+00	1.028377190E-02	1.689420590E-01	4.969496200E-02	9.747563330E-01	1.111732960E+02
BASF13                     0.334000	2.325000	1.611519950E+00	1.007549280E-02	1.926527920E-01	5.007186410E-02	1.090874670E+00	1.104028480E+02
BASF2                      0.365000	2.325000	1.478863680E+00	1.043040760E-02	2.128045380E-01	4.941537510E-02	9.966106090E-01	1.205706130E+02
BASF51                     0.365000	2.235000	1.675074960E+00	1.056670600E-02	2.128221090E-01	4.766646440E-02	9.665572630E-01	9.203885720E+01
BASF52                     0.334000	2.325000	1.638722810E+00	9.932389760E-03	1.845892660E-01	4.628932890E-02	1.007473470E+00	8.161637990E+01
BASF54                     0.334000	2.325000	1.648039100E+00	1.117599170E-02	2.661701610E-01	5.333215650E-02	1.154201310E+00	1.194950980E+02
BASF56                     0.334000	2.325000	1.468915400E+00	1.032594260E-02	2.015285000E-01	4.891139950E-02	9.605062920E-01	1.164572110E+02
BASF57                     0.334000	2.325000	1.471608420E+00	9.154355750E-03	1.907464360E-01	4.447712910E-02	1.047590460E+00	1.105632530E+02
BASF6                      0.334000	2.325000	1.545394560E+00	9.718094890E-03	1.675164830E-01	4.663502630E-02	1.063959780E+00	1.184206190E+02
